,title,translated
10,Pembiayaan Kendaraan Listrik pada 2023 Diprediksi Tembus Rp 170 Miliar,Electricity wealth in 2023 is predicted to rise by 170 billion.
11,"Adira Finance Sambut Baik Peningkatan Subsidi Kendaraan Listrik, Begini Catatannya","Mr. Finance, good morning. Increasing Electricity Governance Subsidies, here's the note."
12,Pembiayaan Kendaraan Listrik Diprediksi Mencapai Rp 170 Miliar di 2023,Electricity wealth is predicted to reach 170 billion by 2023.
13,Sokonindo Automobile Dorong DFSK E Sebagai Kendaraan Niaga Elektrik,Sokonindo Automobile Drives DFSK E as a Zero-Electric Controller
14,DFSK Gelora E Diharapkan Jadi Solusi Bisnis di Era Kendaraan Listrik,"DFSK: The E-Channel Expected, So the Business Solution of the Electrical Power Age"
15,Segmen Kendaraan Niaga Ringan Masih Sepi Mobil Listrik,None of the keys to the ring are still on the electric car.
16,Presiden Syaratkan di IKN 100 Persen Pakai Kendaraan Listrik ...,"President, I want you to qualify for IKN's 100 Percent Electric Vehicle License..."
17,"Jokowi Ingin Semua Warga IKN Pakai Kendaraan Listrik, Berikut Rencana PLN untuk Tahun Depan","President Joko Widodo wants all IKN citizens to have access to electricity, and here's his PLN plan for the coming year."
18,"Dorong Penggunaan Kendaraan Listrik, Pemprov Andalkan Insentif ...","Encourage the use of electrical power, test incentives..."
19,"Luhut: Tanpa Indonesia, Amerika Tak Bisa Penuhi Kebutuhan Mobil Listrik","Voice: Without Indonesia, America can't afford electric cars."
20,Kemenperin Perkenalkan Kendaraan Listrik Rancangan IKM,"The Inventor of Digital Signatures, IKM Design."
21,"Era Kendaraan Listrik di NTB telah Dimulai, Berikut daftar SPKLU di ...","The era of digital literacy in the NTA has begun, and here's the list of the most digitally literate people in the world."
22,Diresmikan SPKLU untuk Kendaraan Listrik di GDC Depok - Ruzka,It was donated by SPKLU for Power Management at GDC Depok-Ruzka.
23,LG rilis pengisi daya kendaraan listrik di pasar AS pada 2024,LG is going to roll out electric vehicle charging in the U.S. market by 2024.
24,Permintaan EV Kia-Hyundai di AS tetap kuat meski dibayangi inflasi,The Kia-Hyundai market in the U.S. remains strong even in the face of inflation.
25,Kemenhub Sosialisasikan Kendaraan Listrik Berbasis Baterai yang ...,The Breakthrough Socializes Battery-Based Electrical Power...
26,Wuling BinggoEV: Kendaraan Listrik Hatchback yang Modern dan ...,Wuling BinggoEV: Modern and...
27,AUTO Bakal Fokus Penuhi Komponen Kendaraan Listrik - Kompas.com,Auto Gets Focus on Electrical Control Components — Kompas.com
28,Apakah Daya Baterai Kendaraan Listrik Bisa Tekor Saat Parkir Lama?,Can a battery-powered car crash when it's parked?
29,Jokowi dan Biden Bahas Ekspor Nikel Baterai Kendaraan Listrik AS,President Joko Widodo and Biden Bahas: The U.S.'s nickel-plated electricity exports
30,PLN Bakal Tambah 24 Stasiun Pengisian Kendaraan Listrik di IKN,PLN is going to add 24 grid access stations to IKN.
31,"Kendaraan Listrik Tetap Keluarkan Emisi, Kok Bisa?","Electrical power keeps the emissions out, can you?"
32,Peringatan WSD 2023: BSN Dukung kendaraan Listrik melalui ...,WSD Recommendation 2023: BSN Powering Electric Vehicles Through...
33,Manufaktur Indonesia Dilirik Sektor Kendaraan Listrik Australia,The Indonesian Manufacturers are in the Australian Electrical Equipment Sector.
34,Kadin yakin ekosistem kendaraan listrik berkembang di Jawa Barat,Kadin believes that the electric vehicle ecosystem is evolving in West Java.
35,Negara Ini Jadi Saingan Terbesar Indonesia di Pasar Kendaraan Listrik,This country is the largest competitor to Indonesia in the Electric Vehicle Market.
36,"90 Persen Kendaraan Produk Jepang, RI Ajak Jepang Percepat ...","90 Percent Japanese Productivity, RI Japan Speedway..."
37,"Saat Jokowi Pamer IKN ke Mahasiswa AS: Kota Hijau, Serba Kendaraan Listrik","When President Obama Pampers IKN to U.S. Students: Green City, Power Station"
38,Pemerintah Ajak Perkuat Industri Otomotif Indonesia lewat ...,The Indonesian Automotive Industry Authority through...
39,Pulau Penyengat Terima Bantuan 11 Kendaraan Listrik - Kompas.com,Thank You Sun Island 11 Power Sources — Kompas.com
40,Hasil Survei Kecemasan Warga Indonesia Soal Kendaraan Listrik,Indonesian Citizens' Electrical Literacy Survey Results
41,Indonesia-Australia Kerja Sama Kembangkan Kendaraan Listrik,Indonesia-Australia Joint Working Group on Electricity Capacity Development.
42,Kendaraan listrik generasi mendatang jadi sorotan di JMS 2023,The power of the next generation is at stake at JMS 2023.
43,Kendaraan Listrik yang Bisa Mengecil,Electrical power that can scale.
44,"Era Kendaraan Listrik, Pembiayaan Mobil Makin Nyetrum?","The era of electricity, the era of fancy cars?"
45,Mengapa Banyak Asuransi Kendaraan Listrik Masih Pakai Skema Konvensional? - Kompas.com,Why are so many Power Corporations still embracing the conventional paradigm? Compas.com.
46,Pertamina Gandeng VKTR Percepat Transisi Kendaraan Listrik di Indonesia,The VKTR Rapid Transit Vehicle Association in Indonesia.
47,China Jadi Pasar Kendaraan Listrik Terbesar di Dunia - Kompas.com,China is the World's Largest Power Grid Market — Kompas.com.
48,PLN Targetkan 100 Persen Gunakan Kendaraan Listrik untuk Oprasional di 2024 - Kompas.com,PLN Target 100 Percent Use Optical Transceivers in 2024 — Kompas.com
49,DISBUD Badung Bakal Gunakan 210 Unit Motor Listrik Ini!,Dragonflies are going to use 210 of these electric motors!
50,"Menggandeng Perusahaan Korsel, PLN Icon Plus Kembangkan Ekosistem Kendaraan Listrik di Indonesia","Under the cover of the Shell Company, PLN Icon Plus developed an ecosystem of solar power in Indonesia."
51,Jokowi Dorong ASEAN Sepakat Jadi Global Hub Industri Kendaraan Listrik,"President Joko Widodo Moved ASEAN to Play, So It became a Global Hub of Electrical Power Industry."
52,"Pemerintah Tetapkan Tarif Pengisian Daya Mobil Listrik Rp 2.466 per kWh, Berikut Perhitungannya - Kompas.com","The government puts the annual electricity bill at 2,466 per kWh, and here's the calculation — Kompas.com."
53,"Permintaan Kendaraan Listrik Kurang, Produsen Mau Kurangi ...","There's a shortage of power reserves, there's a shortage of producers..."
54,Esemka Bakal Mejeng di Pameran Kendaraan Listrik PEVS 2024?,Would you like to come to the PEVS 2024 Power Empowerment Fair?
55,Rencana untuk Fasilitas Pengisian Baterai Kendaraan Listrik di Asia ...,Planning for a Power Generation Plant in Asia...
56,Penelitian: Harga Mahal Jadi Alasan Konsumen Ogah Beralih ke Kendaraan Listrik,Research: Expensive Prices So Reason Consumers Are Turning To Electrical Power
57,"Hyundai, Kia kenalkan EV baru dan model konsep di Pameran Los Angeles","Hyundai, Kia introduced new EVs and concept models at the Los Angeles Motor Show."
58,"Chery Tidak Fokus pada Kendaraan Listrik di Indonesia, Kenapa?","Chery didn't focus on electricity in Indonesia, why?"
59,"Ramaikan Pasar Kendaraan Listrik, MG Rakit Molis Lokal di Cikarang","Let's open up the Electric Car Market, MG Rakit Molis, locally in Cikarang."
60,"Hyundai Mulai Bangun Pabrik Baru Kendaraan Listrik, Bakal Beroperasi pada 2026","Hyundai Launches New Electric Vehicle Factory, Scheduled to Operate By 2026."
61,"Manfaatkan Limbah Cangkang, Mahasiswa UB Ciptakan Baterai Kendaraan Listrik","Benefiting from Ling Ling Ling, a U.B. student invented the Lithium-Ion battery."
62,"Tekan Polusi, AstraZeneca Operasikan 500 Kendaraan Listrik di Indonesia","Vice President of Pollution, AstraZeneca Operates 500 Power Plants in Indonesia."
63,Produsen otomotif Jepang percepat transisi ke kendaraan listrik,The Japanese automaker is accelerating the transition to electric vehicles.
64,Pentingnya Fasilitas Uji Baterai Kendaraan Listrik di Indonesia,The Importance of an Indonesian Power Grid Infrastructure
65,"Mobil Listrik BYD Kepergok Wara-wiri di Jakarta, Kode Mau Dijual Nih?","BYD Electric Car Check out the Wara-wiri in Jakarta, Kode Mau Sold?"
66,Mendag Ajak 2 Produsen Asal China Bikin Kendaraan Listrik di Indonesia,Track 2: Chinese Plastics Manufacturers' Electrical Swimsuits in Indonesia.
67,Kendaraan Listrik Diprediksi Jadi Ladang Bisnis Baru Paling Besar di 2030 - Kompas.com,Electricity is predicted to be the biggest new business in 2030 — Kompas.com.
68,Penjualan Kendaraan Listrik Toyota Capai 25.000 Unit di Tahun ini,"Toyota Capai Powertrain sold 25,000 units this year."
69,Apa Jadinya kalau Mobil Listrik Pakai Ban Kendaraan Konvensional?,What if the Electric Car Weighed Conventional Weights?
70,"Mulai Diminati, ABeam Consulting Terbitkan Laporan Penggunaan Kendaraan Listrik di Indonesia - Jawa Pos",ABeam Consulting Receives Power Utility Usage Report from Indonesia — Jawa Post.
71,"Dukung Percepatan Penggunaan Kendaraan Listrik, BSN terus ...","Power Consumption Speed Limit, BSN continues..."
72,Pemerintah Tegaskan Komitmen Pengembangan Ekosistem ...,The government has established the Ecosystem Development Committee...
73,Indonesia.go.id - Peluang dan Tantangan Ekosistem Kendaraan ...,Indonesia.go.id — Opportunities and Challenges of Ecosystem Governance...
74,"Mobil Listrik Tak Laku, Ternyata Orang RI Maunya Ini","The Invincible Electric Car, it turns out, is what people in RI want."
75,"Lebih Hemat Pakai Kendaraan Listrik, Masyarakat Nikmati Beragam ...","More affordable electricity, a more egalitarian society..."
76,"Kemenperin: Dorong Akselerasi Ekosistem KBLBB, Bantuan ...","Inventors: Encouragement of Ecosystem Acceleration, KBLBB, Aid..."
77,Manfaat Mobil Listrik bagi Hidup Anda,The Benefits of the Electric Car in Your Life
78,"Pembiayaan Kendaraan Listrik BSI 'Ngegas', Terdorong Insentif Regulator","The Ig Nobel Prize in Electrical Engineering, inspired by the Regulator's Incentive."
79,Moeldoko: Terbuka Peluang Investasi Kendaraan Listrik di Indonesia,Moeldoko: Open Opportunities for Electrical Power Investment in Indonesia
80,"Dukung Ketahanan Energi Kawasan ASEAN, Indonesia Dorong ...","The ASEAN Energy Sustainability Zone, Indonesia is driving..."
81,Kemenperin: Insentif Kendaraan Listrik dan Kebijakan Lainnya ...,Inventor: Power Stewardship and Policy Incentives and more...
82,"Eropa Selidiki EV China, Mobil Listrik RI Bisa Kena Juga?","Europe, China's EV-like, RI-powered cars, can you get one too?"
83,"Turunkan Polusi Udara di Jakarta, Menhub Ajak Masyarakat Beralih ...","Take out the Jakarta Air Pollution, eradicate the vestiges of society instead of..."
84,Pemerintah Harus Konsisten Kembangkan Kendaraan Listrik,Governments Should Be Consistent in Developing Electricity Capacity.
85,Jokowi Ungkap Strategi RI Masuk Rantai Pasok Kendaraan Listrik Global,President Joko Widodo Unveils RI's Global Leadership Strategy
86,Sekretariat Kabinet Republik Indonesia | Pemerintah Dorong ...,Cabinet Secretariat of the Republic of Indonesia | Government Prompt...
87,Gaikindo Akui Mobil Listrik Belum Jadi Kendaraan Utama di Indonesia,Gaikindo Akui Electric Car is still the premier vehicle in Indonesia.
88,"Soal Kendaraan Listrik, Kritikan JK Tak Terbantahkan!","Electrical literacy, the UK's Incontestable Criticism!"
89,Kota Bandung Menuju Green Life Style dengan Kendaraan Listrik,The city of Bandung pioneered the Green Life Style with Electrical Power.
90,KTT ke-26 ASEAN Plus Three (APT) Sepakati Kerja Sama ...,Twenty-sixth ASEAN Plus Three (APT) Working Group...
91,Anak Buah Luhut Beber Kendala RI Kembangkan Industri Kendaraan Listrik,RI Environment's Blueberry Tree Initiative: Developing a Power-Efficient Industry.
92,"Industri Kendaraan Listrik, Momentum Strategis","The Power Empowerment Industry, Momentum Strategis."
93,Indonesia.go.id - Mempermudah Izin Usaha Pengisian Daya ...,Indonesia.go.id — Facilitating Day Care Centers...
94,Perizinan Berusaha Kegiatan Stasiun Pengisian Kendaraan Listrik ...,The Electrical Engineering Establishment Operations Station...
95,Ambisi ASEAN Jadi Pusat Produksi Kendaraan Listrik Butuh ”Gula ...,"ASEAN's ambition to become a fully-fledged Power Generation Center is """" Go..."
96,Asosiasi Blak-blakan Ungkap Tantangan Pembiayaan Kendaraan Listrik,The Association of Lightning Detectors of the Light Emitting Opportunities Challenge.
97,Penyaluran Kredit Kendaraan Listrik BRI Finance Melesat Tahun Ini,BRI Finance's Electric Credit Ratings Gain This Year
98,"Indonesia.go.id - Kurangi Polusi Udara, Saatnya Beralih ke ...","Indonesia.go.id — Reducing Air Pollution, It's Time to Move On..."
99,"Adira Finance Salurkan Pembiayaan Kendaraan Listrik Rp67,7 Miliar",Adira Finance donated $67.7 billion in electricity to the charity.
100,Kementerian Komunikasi dan Informatika,Ministry of Communications and Informatics.
101,OJK Yakin Penyaluran Pembiayaan Kredit Kendaraan Listrik Meningkat,The OJK Yakin Electric Credit Enhancement Authority is growing.
102,Riset Deloitte dan Foundry: Penggunaan Motor Listrik di Indonesia ...,Deloitte and Foundry Research: Electric Motor Usage in Indonesia...
103,"Tidak Hanya Eselon 4, Sekda DKI Imbau Seluruh ASN Pakai Kendaraan Listrik","It's not just District 4, it's all the DMVs, it's all the grid."
104,Indonesia Nyatakan Kesiapan Pasok Kebutuhan Baterai Kendaraan ...,Indonesia Unveils Emergency Preparedness for Key Infrastructure...
105,"Jokowi Sebut RI Bakal Produksi Mobil Listrik Tahun Depan, Targetkan 600 Ribu Unit pada 2030","President Joko Widodo of the Republic of Korea is going to produce electric cars this year, targeting 600,000 units by 2030."
106,Luhut: AS Paham Tanpa RI Tak Dapat Penuhi Target Mobil Listrik,Bottom line: The U.S. A. Without RI Can't Target Electric Cars.
107,"Luhut: Tanpa Indonesia, Amerika Tak Bisa Penuhi Kebutuhan Mobil Listrik","Voice: Without Indonesia, America can't afford electric cars."
108,Mobil Listrik Jadi Satu-satunya Titik Terang dalam Upaya Global Mencapai Net Zero,The electric car became the only entry point in the global effort to achieve Net Zero.
109,"Berkelas dan Ikonik, Ini Arti Nama Mobil Listrik Wuling BinguoEV","Together with Architect, this is what the Wuling BinguoEV Electric Car is called."
110,"Wuling Pre-Launch Mobil Listrik Binguo EV, Berapa Harganya?","Wuling Pre-Launch Electric Binguo EV, how much is it?"
111,"Arti Nama Binguo, Mobil Listrik Terbaru Wuling Bergaya Hatchback","Binguo Names, Wuling's Newest Electric Car Hatchback"
112,Video: Pabrikan Mobil Listrik China Ancam Dominasi Volkswagen,Video: China's Electric Car Factory Threatens Volkswagen Dominance
113,"Tanpa Mineral Kritis Indonesia, Luhut Sebut Amerika Sulit Produksi Mobil Listrik","Without critical minerals, Indonesia, America's largest oil refinery, could not produce electric cars."
114,"Pembiayaan mobil listrik capai Rp100 miliar, Adira target akhir tahun tembus segini - Hops ID","Electric car lighting reaches 100 billion, which is the latest year-end target — Hops ID."
115,"Xiaomi Siap Luncurkan Mobil Listrik, Ini Penampakannya | Republika Online","Xiaomi Launches Power Car, Here's The Impact | Republic Online"
116,Bocor Spesifikasi Mobil Listrik Pertama Xiaomi SU7,Stealthily specifying the first Xiaomi SU7 electric car.
117,Xiaomi Akan Luncurkan Mobil Listrik Pertamanya Awal 2024,Xiaomi Will Launch First Electric Car in Early 2024
118,BMW: Harga Ganti Baterai Mobil Listrik Belum Tentu Mahal - kumparan.com,BMW: The Price of an Unknown Electric Car Battery — kumparan.com
119,Adira Prediksi Pembiayaan Kendaraan Listrik Tembus Rp 170 Miliar,Adira predicts that solar power will cost 170 billion.
120,"Perkenalkan Bharata, mobil listrik karya mahasiswa di Jember - ANTARA News Jawa Timur","Meet Bharata, a student-built electric car in Yemen. — ANTARA News, East Java."
121,VW Indonesia Jajaki Bawa Mobil Listrik,VW Indonesia Jajaki Bawa Electric Car
122,Pabrik MG di Cikarang Siap Ekspor Mobil Listrik ke Australia Tahun Depan,MG's factory in Cikarang is preparing to export electric cars to Australia this coming year.
123,Bocoran Harga Mobil Listrik MG ZS EV,The price of the MG ZS EV electric car.
124,"Mobil Listrik Bertenaga Buas MG Cyberster Resmi Meluncur, Langsung Dipesan 1.000 Unit","MG Cyberster Officially Launches, Directly Charges 1,000 Units"
125,Optimisme Wuling Motors Pasca Luncurkan Mobil Listrik Berharga di Bawah Rp 500 Juta,The optimism of Wuling Motors after the launch of its 500-million-dollar electric car.
126,Mobil Listrik dan Hybrid Daihatsu Buatan Indonesia Siap Mengaspal 2024,Indonesian Electric and Hybrid Fuel-Efficient Cars 2024
127,"Renault Siapkan Mobil Listrik Murah, Harganya Menarik Banget!","Renault Prepares Cheap Electric Car, Interesting Prices!"
128,"RI Mulai Produksi Mobil Listrik Tahun Depan, Target 600.000 Unit di 2030","RI Starts Electric Car Production Next Year, Target 600,000 Units by 2030."
129,Lagi Cari-Cari Mobil Listrik Baru? Datang ke Pameran Ini,"Again, looking for a new electric car? It's coming to this ceremony."
130,Mobil Listrik Pertama Rolls-Royce Meluncur di Indonesia,"The first electric car, Rolls-Royce, launched in Indonesia."
131,Kunci Tekan Harga Mobil Listrik,Top 10 Electric Car Prices
132,"Pemerintah Tetapkan Tarif Pengisian Daya Mobil Listrik Rp 2.466 per kWh, Berikut Perhitungannya - Kompas.com","The government puts the annual electricity bill at 2,466 per kWh, and here's the calculation — Kompas.com."
133,Demi Gaya Mobil Listrik Eropa Nyeleneh Tak Punya Kaca Belakang,"Europe's Half-Old, Half-Covered Electric Cars"
134,Deretan mobil listrik di bawah Rp500 juta yang bisa jadi pilihan,There's a sub-500-million-dollar fleet of electric cars that are optional.
135,"Pajak Mobil Listrik Terbaru 2024, Ini Aturan dan Tarifnya!","Electric Car Rental for 2024, Here's the Rules and the Pricing!"
136,"Daftar Harga Mobil Listrik November 2023, Mulai Rp189 Jutaan!","List of Electric Car Prices, November 2023, Starting at 189 Million!"
137,"Mobil Listrik BYD Kepergok Wara-wiri di Jakarta, Kode Mau Dijual Nih?","BYD Electric Car Check out the Wara-wiri in Jakarta, Kode Mau Sold?"
138,"Yakin Mobil Listrik Jadi Solusi Tekan Emisi, Hidrogen Bagaimana?","Electric cars, so what about the Emission Factor, Hydrogen?"
139,Kisaran Harga Mobil Listrik Kedua Wuling di Indonesia,The price of second-hand electric cars in Indonesia.
140,"Hyundai Investasi Rp23,54 Triliun, Target Lego Mobil Listrik 3,64 Juta Unit pada 2030","Hyundai Invests 23.54 trillion, Target Lego Electric Vehicle 3.64 Million Units by 2030."
141,Mobil Listrik Mitsubishi Mulai Diproduksi di Indonesia Akhir 2023,Mitsubishi Electric Car Launched in Indonesia in late 2023.
142,Apa Jadinya kalau Mobil Listrik Pakai Ban Kendaraan Konvensional?,What if the Electric Car Weighed Conventional Weights?
143,"Tren Elektrifikasi, Ini Deretan Mobil Listrik Toyota Sesuai Jenis dan Kebutuhan Pengguna - Kompas.com","In electrification, this is the Toyota Electric Range, by Type and Usage — Kompas.com."
144,Solo Punya Mobil Listrik untuk Wisatawan,Punya Solo is a Tourist Electric Car.
145,Ketika Juragan Minyak Arab Saudi Mulai Main Mobil Listrik,"When the Saudi Arabian Gulf War started, it started with electric cars."
146,"Produksi Lokal Mobil Listrik Mercedes-Benz Seri EQ, Sebatas Gimik?","Local EQ Series Mercedes-Benz Electric Car Manufacturer, Limited Edition?"
147,Toyota Sebut Banyak Mobil Listrik Bukan Digunakan Sebagai ...,Toyota Sebut Many Electric Cars Not Used as...
148,Mobil Listrik Neta V Belum Memenuhi Syarat Penerima Subsidi,Neta V doesn't qualify for subsidies.
149,Jokowi: SMK Harus Siap Oprek Mobil Listrik!,Joko Widodo: High Schools Must Clean Up Their Electric Cars!
150,Kemenperin Luruskan Penyebab Emisi Karbon Mobil Listrik Lebih Tinggi,The Invention to Fix the Cause of Higher Carbon Emissions from Electric Cars
151,"Mobil Listrik Harga Murah Buat Angkut-angkut, Rp 350 Juta Bawa Pulang DFSK Gelora E","Cheap Electric Cars for Transportation, 350 Million Dollars Away from DFSK E-Glass."
152,Pembiayaan Kendaraan Listrik pada 2023 Diprediksi Tembus Rp 170 Miliar,Electricity wealth in 2023 is predicted to rise by 170 billion.
153,"Ada Produk Baru, Hyundai Bisa Cetak 50 Ribu Mobil Listrik di RI 2024","There's a new product, the Hyundai Can Drive 50 Electric Cars in RI 2024."
154,"Awas Mobil Listrik Terancam, Tahun Depan Suram!","Threatened Electric Car Crash, Dark Autumn!"
155,Segini Jumlah Pesanan Mobil Listrik Termurah di Indonesia,Here's how much electric cars are shipped in Indonesia.
156,Honda Akui Teknologi Mobil Listrik China Sudah Sangat Maju,China's Honda Accu has become very popular.
157,"Diskon Mobil Listrik November 2023, Ioniq 5 Tembus 80 Juta ...","In November of 2023, the Ioniq 5 will reach 80 million..."
158,Tim Yacaranda UGM Juara Umum Kompetisi Mobil Listrik Indonesia,The UGM Audience Jury of the Indonesian Electric Car Competition
159,"Daftar Mobil Listrik Murah di Indonesia, Harga Mulai Rp 190 Jutaan","List of cheap electric cars in Indonesia, starting at 190 million."
160,"Laba Emiten Komponen Otomotif Ini Melesat 107%, Pabrik Mobil Listrik Bawa Berkah","This Automotive Components Corporation dropped 107%, the Scrap Electric Car Factory dropped 107%."
161,"Siapkan Rp 18 T, Raksasa Produsen Mobil Listrik Vietnam Mau Masuk RI","Prepare 18 tons, the Vietnamese Electric Car Manufacturer giant wants to go to the U.S."
162,"Mobil Listrik Cina Paling Digemari Anak Muda, Simak Review-nya - Realitas Online","China's Most Popular Children's Electric Car, The Nose, Review — Online Reality"
163,"Setelah Sepeda Motor, Polytron Akan Bikin Mobil Listrik - Kompas.com","After Motorbike, Polytron Will Make Electric Car — Kompas.com"
164,Ini Alasan Utama Orang Kaya Beli Mobil Listrik,That's why most people buy electric cars.
165,"Starup Jepang Hadirkan Mobil Listrik Unik Satu Tempat Duduk, Dibanderol Rp100 Juta","Japanese startup Thinking One-Stop, One-Stop, 100 Million Dollar Electric Cars."
166,Tokopedia Dukung Penggunaan Mobil Listrik Guna Kurangi Polusi ...,The encyclopedia of fuel-efficient cars reduces pollution...
167,"Lihat dari Dekat Wuling BinguoEV, Mobil Listrik Classy yang Modern","Look at the Wuling BinguoEV nearby, the modern Classy Electric Car."
168,Toyota Riset Produksi Baterai Mobil Listrik di Indonesia,Toyota Research Electric Vehicle Battery Manufacturing in Indonesia.
169,Ferrari Ungkap Kabar Terbaru Pengembangan Mobil Listrik Miliknya,Ferrari Unveils New Developments for Hybrid Cars
170,Bridgestone Ecopia EP300 Enliten Bisa untuk Mobil Listrik? - kumparan.com,Bridgestone Ecopia EP300 Enliten Can for Electric Cars? Company.com.
171,"Subsidi Konversi Motor Listrik Rp10 Juta, Ini Strategi Adira Finance (ADMF)","10 million electric motor conversion subsidies, this is the Adira Finance Strategy."
172,Kapan Mobil Listrik BMW Dirakit Lokal?,When does a BMW Power Car Get Localized?
173,Mobil Listrik Honda Bakal Pakai Baterai Seperti PCX Electric,The Honda Civic gets a battery pack like the PCX Electric.
174,"Wuling: 12 Ribu Unit Air ev Mengaspal di RI, Emisi Karbon Berkurang 81 Juta Ton","Wuling: 12 Reef Units Burning in RI, 81 Million Tons of Carbon Emissions."
175,Toyota Adopsi Teknologi Charger Mobil Listrik Tesla Mulai 2025,"Toyota Adopsi Charger, Tesla Power Car, starting in 2025."
176,Pemilik Mobil Listrik Harus Lebih Hati-hati Ketika Musim Hujan,Electric Car Owners Should Be Careful During Spring Break
177,Tren Modifikasi Audio Mobil Listrik Mulai Menjamur,Radio Car Audio Modification Trends Are Rising
178,"Luhut: Tanpa Indonesia, AS Tak Bisa Penuhi Kebutuhan Mobil Listrik","Voice: Without Indonesia, the U.S. Can't Stop Electric Cars."
179,"Cadillac Tambah Portofolio Mobil Listrik, 'Optiq' SUV yang Punya Tampang Elegan","Cadillac Adds Power Car Portfolio, Sleek 'Optical' SUV"
180,"China Pantau Ekspor Tanah Jarang, Industri Rudal-Mobil Listrik AS Bisa Terdampak","China's Shark Exports, U.S. Electric Car Industry Could Impact"
181,"5 Mobil Listrik Terlaris September 2023, Begini Spesifikasi dan Harganya","The 5 Best Electric Cars of September 2023, here's the specification and the price."
182,9 Tahun Jokowi: Kemunculan Mobil Listrik di Indonesia,President's Ninth Year: Indonesia's Electric Car Launch
183,"Eropa Selidiki EV China, Mobil Listrik RI Bisa Kena Juga?","Europe, China's EV-like, RI-powered cars, can you get one too?"
184,"Deretan Mobil Listrik Terbaik dan Populer 2023, Jangan Salah Pilih","Top Electric and Popular Cars of 2023, Don't Miss Them"
185,"Mobil Listrik Tak Laku, Ternyata Orang RI Maunya Ini","The Invincible Electric Car, it turns out, is what people in RI want."
186,Toyota Anggap Tak Semua Konsumen Indonesia Mau Beli Mobil Listrik,Toyota Won't Buy Electric Cars: Indonesian Consumers Want Electric Cars
187,Penjualan Mobil Listrik di Indonesia Meningkat pada Agustus 2023,Electric car sales in Indonesia are slated for August 2023.
188,"Mobil Listrik China Rp 85 Juta Meluncur di RI, Ini Tampangnya","China's 85-million-dollar electric car launched in RI, this is it."
189,"Media Asing Sorot Ambisi Mobil Listrik Jokowi, Kenapa?","The media is suspicious of President Joko Widodo's electric car, why?"
190,Apa yang Membuat Konsumen Indonesia Mau Beli Mobil Listrik? Ini ...,What Makes Indonesian Consumers Want to Buy Electric Cars? This is...
191,"Mobil Listrik Belum Bisa Kalahkan Mobil Bensin, Ini Sebabnya","Electric cars can't move petrol cars, that's why."
192,Manfaat Mobil Listrik bagi Hidup Anda,The Benefits of the Electric Car in Your Life
193,Mobil Listrik China Mulai Resahkan OPEC dan Industri Otomotif ...,China's Electric Car Starts Separating OPEC and the Automotive Industry...
194,Ragam Program MTF Dorong Percepatan Mobil Listrik,The heart of the MTF program is to drive the speed of electric cars.
195,Mobil Listrik Paling Laris di RI Ternyata Model Merek Ini!,RI's Hottest Electric Car Turns Out to Be This Merchant Model!
196,INFOGRAFIS: Mobil Listrik di Bawah Rp500 Juta,INFOGRAPHY: 500-million-dollar Low Voltage Cars.
197,Hyundai Klaim Paling Serius Soal Mobil Listrik di Indonesia,Hyundai Named Most Powerful Car in Indonesia
